Text,Sentiment
 que yo no habia solicitando ya llame y no me dan Ningun solucion yo no puedo pagar ,positivo
Por favor como puedo pagar,positivo
Cual cuota,positivo
Por que me siguen emviando esos mns de cobro ,positivo
Está pagado en el bcp,positivo
Estoy esperando mas de una semana mi clave para cobrar y no llega,positivo
"El numero 952271263 quiere comunicarse contigo, si deseas llamalo.",positivo
Ya pague gracias,positivo
Señores buenos dias estoy viendo la forma como recuperar mis joyas ..asimismo recuperar mi dinero invertido poco a poco y poder pagar la totalidad de mi ,positivo
ya pague ,positivo
Cuanto es la cuota estoy en el trabajo y no tengo el.contratobabla mano,positivo
"El numero 995117843 quiere comunicarse contigo, si deseas llamalo.",positivo
Xfavor mandame nro de cta de agente bcp gracias  ,positivo
Ya cancele gracias,positivo
 E quedado para el lunes. Pagar x q recien me pagan,positivo
Ya pagueer,positivo
Me podria enviar numero de cuenta del banco continental para hacer mi pago,positivo
Ya cancele hace 2 meses,positivo
Ok gracias,positivo
Ya cancele  no se preocupe ,positivo
Ya no saben como robar no? Asquerosos!,negativo
Que contrato ,positivo
Con quien tengo el gusto disculpe,positivo
"Buenas tardes el día de hoy he pagado ma cuota correspondiente, sin",positivo
Ya pagueeeeeeeeeeeeeeee.......caraj......,positivo
Que equipos???,positivo
No me kieren dar solucion a mi problema encima kiereb k page un tanto x otro    ps no lo voy a pagar,positivo
"El numero 942432468 quiere comunicarse contigo, si deseas llamalo.",positivo
Porque mi plan es de 45 soles,positivo
Por favor dejen de llamar estoy trabajando ya regularizo mi deuda,positivo
Acabo de enviar un mensaje a su página porque estoy en desacuerdo c,positivo
Y hoy dia pagare,positivo
Ok,positivo
embre mi pago es el 2 a si que no me estén jodiendo que me estresan,positivo
Le informo q el señor Adrian Loli Rosales con DNI 33327121 fallecio tal como informe a mibanco,positivo
"Srs buenos dias , les estoy debiendo del mes de agosto , pueden esperarse unos dias , acaso uds son ajenos a la situacion actual que vivimos la gran mayo",positivo
Necesito mi codigo de pago,positivo
enviar detalle de deuda al correo INFORMES@CONTRATISTASJKM.COM nosotros estamos al dia con los depositos de afp registren su sistema ,positivo
De q cuenta me estan hablando,positivo
"Se equivoca, por favor revise bien yo ya hice el pago en agosto.",positivo
buenas tardes yo pagué el dia 5 mi cuota cual es el problema,positivo
Estoy llamando nadie contesta,positivo
"Porque envian mensajes, si ya esta todo cancelado, no intente sorprender",positivo
Yo deseo pagar normal,positivo
"Sra de Campo Fe, ya pague el dia de ayer mi cuota y se sigue las reiteraciones,ordenence y sean mas eficientes DNI 07851624",positivo
Quisiera saber porque me están cobrando 31 soles demas,positivo
Y a que no estamos trabajando pero igual cumpliremos,positivo
 Yo ya pague,positivo
Sres del bco azteca soy una clienta que paga cuatro semanas y me toca pagar el 4 de stiembre por favor dejen de estar  llsmsndo porque yo cuando tengo qu,positivo
Ya cancele hace 2 dias ,positivo
me agreguen.los meses,positivo
Yodo el total de mi deuda,positivo
Ok. Gracias ,positivo
"Felicidades! Ganaste un bono de Preplan40 con APPs, Gigas, Minutos y SMS Todo Operador ILIMITADOS x7dias.",negativo
Ya le dije que  la impresora  se maligno me dijo que me llamaría y ,positivo
Ya pague no me molesten....,positivo
Gracias espero su respuesta,positivo
Ya cansele todo ase tiempo,positivo
Ya no les debo nada señores. Revisen bien y si les debo llameme para cobrarme ,positivo
Por favor ya pague mi cuota,positivo
Disculpe pero yo ya termine de pagar todo,positivo
buenas noches por que me manda tantos mensajes deque  tengo que pagar el 20 mi cuota mensual es cada 10 de  cada mes asi que por favor informese bien ant,positivo
como puedo cobrar,positivo
Ya cancele el lunes,positivo
cuantas beses les tengo q desir q no tengo plata ni para tragar ,positivo
Plazo hasta cuando se puede pagar?,positivo
Reprogramelo el pago porfavor,positivo
Buenas tarde me pueden reeprogramar para el otro mes porq recien empeze a trabjar gracias x su comprension ,positivo
Tengo muchos gastos para mi recuperación,positivo
Estimado he enviado 3 veces ya y hasta ahora no tengo la respuesta ,positivo
Covid 19 no tra,negativo
Buenas tardes disculpa por la demora de mi pago el  14 de este mes va y a cancelar mi deuda con avon ahorita stoy fuera de junin en donde no hay banco ni,positivo
Ya page pz,positivo
Muchas  gracias es mi ultima  cuota  y me da tiempo para pagarla,positivo
Ya voy,positivo
No estoy en lima,positivo
de que es esto  x favor  expliquese  gracias ,positivo
Si no utilizo de que voy a pagar,positivo
"El numero 939389346 quiere comunicarse contigo, si deseas llamalo.",positivo
Yo tengo plata para pagar No pagan los que me deben ,positivo
"El numero 959971348 quiere comunicarse contigo, si deseas llamalo.",positivo
o cancelado  comuníquese con el señor  Miguel Reynoso TFC,positivo
Yo ya pagué ,positivo
Hola buenas tardes ,positivo
Ya pagu¿,positivo
"Soy el señor nolberto nuñez DNI 16583042, he intentado hablar sobre mi deuda de mis 2 ultimas cuotas, las que segun uds. Las han reprogramado SIN MI AUTO",positivo
Rosa es Claro ahora.,positivo
Xf informar cuanto es la cantidad mensual xf ,positivo
"Disculpa, yo ya pague mi cuota del mes de agosto",positivo
Me pueden explicar de q mes tengo esa cuota vencida excepto de este mes q voy a pagar mañana   y porque es mi ultimo dia de pago ,positivo
Ya pague carajos ,positivo
Hola deuda de qe ,positivo
"Digame señorita, yo no estoy debiendo nada por favor llamame para aclarar las cosas",positivo
Buenos dias estoy llamando a los numeros que me han enviado y no contestan cual es su oferta Colecta sac ,positivo
No tengo   tiempo... Ahora para ir a pagar ,positivo
"El numero 971089260 quiere comunicarse contigo, si deseas llamalo.",positivo
He cancelado 13.72 eso arroja el sistema ,positivo
Y tampoco responden mi mensaje,positivo
"Hasta ahora estoy esperando más de 1 mes , que me manden el pago link ",positivo
 Hola buenos dias disculpe es verdad este msje x q e llamado a la tienda y me an dicho q mi cronograma esta igual q no hay ningun cambio ,positivo
Y yo desdeayer estoy q les digo que sale TRANSACCION RECHAZADA,positivo
Si pague consult con Sr Inga C Mocho,positivo
Ya pague tengo mis recibos ,positivo
Q cuota,positivo
"El numero 985477632 quiere comunicarse contigo, si deseas llamalo.",positivo
dejar conectado el celular toda la noche no apagar las luces cuando sales dejar conectadas extensiones de luz sin usar dormir con la tele prendida dejar ,positivo
Ah Hla no tengo saldo que paso? ,positivo
De que deyda me estas hablando,positivo
Ya lo e cancelado,positivo
"El numero 970906898 quiere comunicarse contigo, si deseas llamalo.",positivo
Para comunicarse con Jennifer llamar al 939469724 gracias ,positivo
 O tengo q ir al mismo banco,positivo
o de sonido ni filmacion por culpa de esta pandemia del COVID19. el préstamo era para implementar mi sonido.  Estoy esperando la ayuda del Gobierno de un,positivo
De que trata esto,positivo
e  gracias ,positivo
"Estimado cliente tiene un plan de pagos especial en esta crisis,cancela tu deuda en FINANCIERA OH de S/10208 con S/2630. LLAMA AL 982046443.",positivo
No tengo para pagar ,positivo
nden  quieren que les  falté el respeto   estoy trabajando y  moles,positivo
Podria comunicarse conmigo por favor ,positivo
Señores de sullana yo estoy puntual en mis pagos. Mi siguiente cuota es o vence el 04 de octubre. Gracias.,positivo
Buenos dias total me dijeron que pagaba hasta noviembre y que la cuota que pague el mes pasado la ponian como adelanto de cuota necesito me expliquen eso,positivo
Muchisimas gracias!!! Estaremos cumpliendo en esa fecha.,positivo
Pagara cuano se levante la cuarentena ,positivo
Yo hablé con la señorita que me llamo ,positivo
Ya pague señoy,positivo
Fin de año le. Pago,positivo
Me podria escribir al wasap por favor ,positivo
Buenas tardes x favor apolleme  se lo pido,positivo
Cual es infor x favor,positivo
De que debo?,positivo
"Ok, hoy iré al banco.",positivo
"Buenas , se le informa que el señor jose campos ya no se encuentra con nosotros ",positivo
"El numero 952002571 quiere comunicarse contigo, si deseas llamalo.",positivo
Hoy voy a pagar ,positivo
Solo ledigo al sr  agerente  kno debe d aver mora k dijo el gobierno yo si voy apagar k tenemos est negocio pero x semanas  espero k comprendo y yo nunca,positivo
Se llama y no responden ,positivo
Siempre se dio la posibilidad de poder reprogramar una cuota por lo de la pandemia ,positivo
Amiga quiero q me manden mi cronograma de pago,positivo
Esta cuota ya fue pagado con anticipacion. Gracias.,positivo
"Señores Grupo Fe/Campo Fe, por el momento estoy sin trabajo pero para la quincena de Setiembre si le pagsre si  o  si. Gracias. ",positivo
Hola señores mi padre esta mal con el covid por favor por el momento no podemos cancelar pero mals adelante SI ibamos a pagar muchas gracias por su comprension,positivo
Que deuda ,positivo
 Bnas tardes disculpe me llego este mensaje yo ya cancele mi letra del banco deaqui me toca el 18 de este mes de septiembre ok,positivo
Estoy en horario de trabajo mas tarde llamo ,positivo
Sr. Buenos dias Disculpe descuento de que si se puede saber....,positivo
Ya pagu¿ hoy,positivo
De que reprogramacion me esta hablando,positivo
Cuanto es la cuota,positivo
si ya page ,positivo
Me comprometi a pagar pero la emergencia no espera ,positivo
Quien es,positivo
"El numero 945209795 quiere comunicarse contigo, si deseas llamalo.",positivo
"No tengo ni para comer, tiene que esperar que mejoren las cosas ",positivo
Sobre que,positivo
 de esta semana que viene dos semanas juntas espero su comprension   Gracias,positivo
Le estaba llamando para consultar de mi deuda muchas gracias,positivo
Holaaa cuanto es el monto a pagar,positivo
De qué deuda me llamas si yo no tengo deuda con ese banco,positivo
Grasias hoy boy a pagar  a .partir de 4 de la tarde,positivo
Si ya pague,positivo
"El numero 988791592 quiere comunicarse contigo, si deseas llamalo.",positivo
Ya   cancele   mi    cuota    ,positivo
En banco falabella de totus pachacutec . Hasta que hora atienden ?,positivo
no se cuanto le devo,positivo
Q cuenta ago el depósito,positivo
Ya pague dejen de molestar ,positivo
 Fui a las agencias me comprometi pagar antes de 12 de este mes,positivo
Por favor me puede llamar,positivo
hola buen dia ,positivo
Fin de mes me acerco,positivo
Ok le espero gracias ,positivo
Buenos dias aun nos mantenemos sin trabajo pronto retornare y me pondre al dia,positivo
"El numero 998701796 quiere comunicarse contigo, si deseas llamalo.",positivo
No puedo pagar con quien me comunico,positivo
Mañana lo cancelo,positivo
"Buenas tardes ,mi cuota le cancele ayer",positivo
Pero yo no e solicitado reprogramacion ,positivo
Ya me llamaron y ya respondi ,positivo
Cual cuota si n tengo préstamo,positivo
Si me pudieran dar una cuenta bancaria para transferir el pago gracias,positivo
Si pago mañana cobran la multa ,positivo
Hola ,positivo
 sol he pagado un contrato más de seiscientos soles y no puedo más ,positivo
Lo ire pagar el luns sin falta,positivo
Me informaron esto hace como 2 meses y nunca fueron,positivo
Ya lo pagué ayer 3 d agosto y ya lo envié mi baucher a mi analista d TOCACHE,positivo
Hola !  ,positivo
Ya page desde el 26 de agosto a las 11:19 :02,positivo
De q es?,positivo
Buenas esta pescando mañana entra y por ahi estara cancelando ,positivo
Se pidiera depositar parte x partes ?,positivo
No puedo pagar en kasnet ,positivo
Ya. Cancele. Estiamdo,positivo
Mepodrian desir de ke deuda mestan incluyendo ,positivo
Si me sacan.  de infocor pago,positivo
Que es eso ,positivo
Q ya no es el 22,positivo
"La app no funciona, hace meses quiero pagar mis recibos y no carga. Tengo que pagarlos en agentes",positivo
 Buenas tardes estoy en zona rural como hago si llego el miércoles a Jaén,positivo
Por favor esta semana se paga .,positivo
Solo debo 400 solesno se defiende sacan ese monto xdios,positivo
ue nos puedan ayudar ,positivo
Ya pague el día sabado,positivo
Diga el apellido ,positivo
 Deuda de que,positivo
"El numero 945070534 quiere comunicarse contigo, si deseas llamalo.",positivo
"El numero 947821971 quiere comunicarse contigo, si deseas llamalo.",positivo
Lo estoy llamando  para ver sobre el pago,positivo
¿ Que deuda ?  ,positivo
Sr bancarios q saber q debo a ser para . Mantener mi targeta q dobo aser porf me pueden explicar,positivo
Se ñor me puede recargar,positivo
 No se quien es mi analista  con quien debo hablar  para reprogramar mi cr¿dito aun no tengo trabajo con que pagar  xfavor nesecito algun numero q pueda llamar ,positivo
SRTA YO AHORITA NO ESTOY TRABAJANDO YO HIBA A IR PARA QUE ME DEN UN PLAZO MAS PARA PAGAR USTEDES SABEN COMO ESTAMOS EN ESTA SITUACION X FAVOR DEANME PLAZ,positivo
"Hola, cuanto seria el pago",positivo
Ya paguen ,positivo
Cual cronograma si yo ya cancele mi deuda con ustedes hacer 2 meses,positivo
O voy al banco o agente,positivo
No puedo pagar,positivo
Amigo ya  cancele las 4 cuotas dos ultimas y dos atrasadas.,positivo
Estoy enfermo con COVID cdo m sane m iré a ver de q debo todo eso m,positivo
A nombre de quien es esa cuota,positivo
"Con BITEL PASS llego el momento de disfrutar, participar y ganar! Canjea la oferta que quieras y ya estas participando en el sorteo!Descarga el cupon ing",positivo
"El numero 950076841 quiere comunicarse contigo, si deseas llamalo.",positivo
En estos dias estaba enferma por eso no puede pagar,positivo
Gracias ya lo saqu el bono.,positivo
Ahora mañana puedo pagar me toca hoy,positivo
Ok me puede avisar cuando esté,positivo
Y el numero de cta,positivo
Hoy por la mañana page,positivo
No trabajo todavia ,positivo
Buenos dias le hago presente que ayer lunes 31 de agosto pague mi deuda vean el WhatsApp. Gracias,positivo
¡Muchas gracias!,positivo
Estoy interesado en meterte huevo,negativo
Hoy he pagado la cuota respectiva y el voucher lo he remitido via wapp ,positivo
Ya pague toda tu huevada ya no jodan,positivo
Muchas gracias quisiera su numero de cuenta xf,positivo
Como para pagar hay  fraccionamiento o hay un des,positivo
Llamo y nadie responde,positivo
Hoy me mandaron ya me fastidia si es llamada o mensaje soluciona ya este fin de semana quiero ya mi anillo,positivo
Estoy tratando de comunicarme con ustedes por telefono pero me es muy dificil. Me pueden dar un correo para escribirles,positivo
Ya pague,positivo
solo esta vez y ahora no quieren ustedes ,positivo
"El numero 965088726 quiere comunicarse contigo, si deseas llamalo.",positivo
Lo se señores. Soy paciente covid dada de alta recien el dia de ayer. Tengo q seguir aisalda. Cuando me reincorpore a mis labores haré efectivo el pago. ,positivo
"er qdar bien con su institucion,no m estoy negando a pagar,pero esta enfermedad la cual a afectado a todos nos Quito nuestro trabajo y no poder cumplir c",positivo
De que incumplimiento  hablas,positivo
l deposito .,positivo
Ya cancelo ,positivo
Ya hice mi tramite.  Pero deseo pagar todo . Por cuando fui al banco incluso con mi bebe de 5 meses . Pedi que me hicieran una reprogramacion.  Y me hici,positivo
El dia tres e pagado mi letra  x que mora ,positivo
Hola xfa quiero pagar no puedo asercarme al curacao como ago para pagar en agencia de BCP,positivo
Como podria hacer eso,positivo
dez no necesito pagar algún crédito pasado que haya sacado . Encima,positivo
Estoy al día en mis cuotas no se porque dicen que tengo una cuota v,positivo
Catarata de dos culos,positivo
No voy a pagar,positivo
Me acercaré a la agencia Huancayo cuando hay transporte interprovin,positivo
Buenas tardes aun no me han enviado el resto del,positivo
"Señores estoy enfermo, soy responsable, cuanto es mi cuota mensual, por favor tengan en cuenta 1ue no hay trabajo. Gracias.",positivo
es demandar mensajes o estar llamando a cada rato ya me queje en la tienda pero ay me sicen no aparece del dia 20 nose de donde sacan ustedes y acada rat,positivo
Quien es Ud,positivo
Cual equipo ,positivo
Señor ayer pague ,positivo
Ya se cancelo. Reviven bien.,positivo
 El lunes Candelo las 2 ultimas letras,positivo
Que desea?,positivo
Aque CTA xfavor deseo pagar con tarjeta visa,positivo
No quiero préstamos de empresas que amenazan gente,positivo
Hola mandame mi estado de cuenta,positivo
Voy a paga el martes x favor,positivo
Muchas Gracias,positivo
Buenas tardes ya no podré pagar deseo que me desafilien ya que no cuento con trabajo,positivo
Ya pagué hace dias,positivo
Que paso,positivo
O PARA PAGAR GRACIAS.,positivo
Ya cancele ahora ,positivo
Ya voy pagar pronto y van rogar para q venda otra vez,positivo
Por motivos de Desempleo Si pudieran aplazar mis pagos seria aplaudible. Gracias,positivo
Fin de mes cancelo,positivo
Disculpen buenas tardes mis cuotas le hize reorogramar gracias,positivo
Profesor soy angel de miercoles y de jueves no a  llegdo n Mi clase mandame por favor,positivo
Por favor no molesten si su cliente esta al  dia con sus pago,positivo
"me avisas , para que tenconuniques conmigo este es mi numero , gracias",positivo
Quiero su numero de mi   analista me puede pasar,positivo
Quien eres Carlos Enrique y que deseas?,positivo
"Ya pagué, me he demorado no porque quiera es por salud yo vivo con menores de edad.No vuelva a enviar sus mensajes por favor",positivo
 Deja de joderme me quieren hacer pagar por un producto que yo no resibi,positivo
"El numero 988221881 quiere comunicarse contigo, si deseas llamalo.",positivo
Señor estaré pagando el 6 de este mes de setiembre por favor ,positivo
Ya pague mi recibo,positivo
Ya deposite gracias,positivo
Quien  eres??? Y porqué  tendria  que comunicarme  con usted???,positivo
K es cuotas especiales????,positivo
Ya lo  lo cancele estoy esperando la carta de no adeudado,positivo
"El numero 950097851 quiere comunicarse contigo, si deseas llamalo.",positivo
Joven buenas tardes,positivo
Se vence los 25 de cada mes ,positivo
Hola!,positivo
Me canse de llamar al numero de contacto,positivo
Cuando me llamaron me dijeron 23 de setiembre que pague,positivo
Por favor me oodrian reprogramar nuevamente mi cuenta.,positivo
Buenas tardes yo orita no le puede cancelar la cyota no estoy trabajando pero el otro mes empieso apagar mi cuota por favor yo si boy apagar,positivo
No me acuerdo,positivo
Ya lo pague ,positivo
"Ya pague, su app p¿sima no se puede pagar desde ahi",positivo
"El numero 938479436 quiere comunicarse contigo, si deseas llamalo.",positivo
La chupada a mi bola derecha cuanto me cobran,positivo
Hoy se pago revisar ,positivo
"Por favor re quiero una reprogramacion de mis cuotas, aun seguimos en cuarentena y ni trabajo",positivo
Ame que mi en porta si esta de feria no dijan de molestarme ,positivo
Hola por favor podría indicarme estas condiciones especiales ,positivo
"Voy a acercarme a pagar el día de mañana, por favor",positivo
abilidades coml siempre lo he hecho .  Gracias ,positivo
 Cuanto es mi cuota,positivo
"El numero 955931748 quiere comunicarse contigo, si deseas llamalo.",positivo
Verifique se cancelo ayer mi cuota,positivo
Cuantas cuotas faltan??,positivo
Si ya paque que no sale en su sistema,positivo
Cuanto es la cuota ,positivo
Cuanta personas hay desemplado ya el covi ya paso qeremos trabajar para pagar. Deudas pendiente ,positivo
"El numero 998000560 quiere comunicarse contigo, si deseas llamalo.",positivo
No se si pueda pagar esa fecha por que mi esposo esta hospitalizado  ,positivo
Buenas tardes,positivo
No es mi problema,positivo
"Buenas tardes, soy el sr Javier Buitron ya pague mi cuota el día de",positivo
Señores buenos dias es verdad los dias de atraso pero escapan a mi situacion economica fui victima del covi solicito reprogramacion para poder salir de e,positivo
Por que me sigue llegando mensaje ya cancele todo,positivo
"El numero 972936647 quiere comunicarse contigo, si deseas llamalo.",positivo
Como reprogramado no entiendo s todo los meses boy pagando haber s m especificas claro espero,positivo
"Buenas tardes, pueden recoger en el distrito de Comas, donde actual",positivo
"El numero 949496385 quiere comunicarse contigo, si deseas llamalo.",positivo
De que banco son,positivo
Cual es la promocion,positivo
de cuanto seria,positivo
"Buenas noches, invoco la RS. SBS. 1870 /2020 del 30 agosto",positivo
Ya no pague ,positivo
Estoy delicado de salud ,positivo
Me quede varada de emergencia disculpen,positivo
andemia oara poder ir a ver y hacer mi denuncia.,positivo
Por favor solo podré depositar una cuota le suplico,positivo
Disculpe pero ya pague ,positivo
Ahora estamos en crisis no podemos pagar hasta qe alla trabajo es la culpa del presidente no del covi  todo el dinero del bono se echa al bolsillo engaña,positivo
Deuda???,positivo
Ayer pagué del mes de junio. ,positivo
Ok hoy mismo pagaré ,positivo
No estoy en la casa,positivo
"El numero 983661993 quiere comunicarse contigo, si deseas llamalo.",positivo
Estoy enfermo con covid reprogramame por favor,positivo
Si eso es lo que debo,positivo
Ya pague revisen bien,positivo
e pagar ok,positivo
"Ya cancele,  mi couta ",positivo
"No tengo préstamos con efectiva, gracias",positivo
Ya pague mi cuenta ,positivo
Hola buenas tardes quisiera saber si puedo pagar en un kasnet O. Bcp ,positivo
plata porque yo ya se la.Fecha de pago y les he pagado el 1.de seti,positivo
Ya se pago la cuota deje de molestar,positivo
Mi compromiso fue para el dia 7/09.,positivo
No me dan solucion,positivo
por el culo te pago ,positivo
 Envíame un código para poder pagar,positivo
Quiero saber porque 274 soles tengo que pagar,positivo
No me gusta  que me en viyen  mensajes   es mi obligatrio  de pagar  ,positivo
Cuanto tengo q pagar,positivo
Buenas noches yo ya quiero que corte mi RPC,positivo
x favor me puedes enviar mi nuevo cronograma de pagos,positivo
Ya hice el pago hoy,positivo
Ya deposite,positivo
se pago hasta setiembre,positivo
hola,positivo
 Ok gracias ,positivo
De q se trata esto. No incomodar con mensajes. Desconozco el contenido. ,positivo
Demanda sobre qq,positivo
Grcaia ya cancelé ,positivo
Quiero saber  cuanto es mi cuenta  att Moisés  zamora,positivo
De que deuda me hablan si no tengo ninguna deuda,positivo
"El numero 980252930 quiere comunicarse contigo, si deseas llamalo.",positivo
eron un refinanciamiento.  Y no me dijeron yo firme rapido por qué estaba con mi bebé.  Eso malogra mi historial de credito.  Deseo que me lo anulen . ,positivo
Ya pagamos la cuota,positivo
??? Quien es?,positivo
Ya pague por la app del BCP,positivo
uarentena Gracias,positivo
Ya pagueee,positivo
"Buenas tardes, la deuda esta totalmente cancelada. De que vencimiento hablan. Actualicen vuestros datos.",positivo
Ya me canse de llamar,positivo
De que esta hablando ,positivo
Sii lo pagare,positivo
Como ya page averiguense bien,positivo
ra gracias,positivo
Pq me piden??????🤔🤔🤔🤔🤔🤔🤔🤔🤔,positivo
Joven si pago el 2,positivo
Ya pague todo mi cuenta en junio,positivo
Sigo esperando que me envien el cronograma de pagos a.mi.correo :jose-cucho2011@hotmail.com,positivo
Ustedes ven su interés yo priorizo mi salud y de mi familia nadies ,positivo
"El numero 988853248 quiere comunicarse contigo, si deseas llamalo.",positivo
Sobre que deuda me esta ustde hablando,positivo
Buenas tardes como hago para pagar tengo mi cuenta en el BBVA y quiero hacer transferencia.,positivo
?que? De que debo?,positivo
Srs. De financiera Efectiva no se de que cuota me informan si yo no tengo cuenta con Utds. ,positivo
Buen dia...presente mi solicitud...con el sr velazco,positivo
A qué equipos se refieren? ,positivo
Mi hermano no hizo mas que 110.00 soles,positivo
"He activado Movistar Total otra vez, me llamaron para ofrecerme una",positivo
Ya reconchas de su madre estoy pagando o no,positivo
Mándame el link del pago porfavor ,positivo
"Buenas tardes he ido a sacar mi dinero y el cajero estaba contando pero no salio nada, ahora reviso mi saldo y no plata favor soluciono",positivo
Y pague justamente con la app del bcp,positivo
Me puede esprica mas ,positivo
"RIZACION, he pagado 2 cuotas diferentes que sumadas al saldo a la fecha, excede en mas de 100 soles, Quien puede atenderme via celular, me encuentro en c",positivo
Disculpe cual es Luren!?? ,positivo
No cancelaré nada. No hay plata ,positivo
Ya pago no joder,positivo
No entiendo de que cuota se refieren si me pudieran explicar porfavor ,positivo
Pf q pagen,positivo
Yo tb necesito ayuda,positivo
Ya cancele y le mande el voucher mi analista,positivo
"El numero 955864971 quiere comunicarse contigo, si deseas llamalo.",positivo
Responde x fa si ,positivo
Por el momento cuento con 500 q dices ,positivo
Como puedo acceder a eso,positivo
Me informa le dia y la hora para esperarlos x favor,positivo
Por ahora no puedo estoy sin reactiva,positivo
"El numero 938401713 quiere comunicarse contigo, si deseas llamalo.",positivo
Más tarde lo voy a pagar ,positivo
Ya pagué ,positivo
Hola buen dia mi nombre es freddy bellido mi hmna paga x mi difunto padre q se llamaba Alfredo bellido Ramos ,positivo
Quisiera que me mande el cronograma y el monto por favor.,positivo
"Ok, gracias Vienen aca los espero con Goliat y sasha, justo estan con ganas de morder a cualquier estafador o ladron mi hermosos pitbull de 40 Kg cada un",positivo
Ya pague hoy gracias ,positivo
"El numero 999921754 quiere comunicarse contigo, si deseas llamalo.",positivo
Y si tengo q aorrar dinero me pueden enviar mi cuenta o como puedo obtener mi targeta,positivo
Y pago de que debería de hacer ,positivo
Por favor indicarme cuando esté el trámite para REACTIVA PERÚ,positivo
Me podría decir quien me escribe ,positivo
Me dieron cuando fui a pagar y me salio a pagar el 14,positivo
Ya cansele gracias ,positivo
Reprogramar  mi   pago  por  salud,positivo
D q cuota me dice,positivo
Ya se pagaron hace dias,positivo
"Srs.de caja sullana,el dia de ayer me acerque a la of. Caraz,para dialogar que porque se me a reprogramado sin consultar a mi peramsona,aplicandome demas",positivo
 Cv hola,positivo
I eso como es,positivo
Sra o srta y les dije k. Voi a cancelar el otro pago dentro de 15 dias ahora no tengo ,positivo
"El numero 973879879 quiere comunicarse contigo, si deseas llamalo.",positivo
Cuanto es lo que debo,positivo
Buen dia hoy ya pagué gracias,positivo
Estoy  delicada  por eso no me acerco ha pagar espero que me comprendan ,positivo
"El numero 999284350 quiere comunicarse contigo, si deseas llamalo.",positivo
solo puedo pagar S/ 500,positivo
Me acercaremos a pagar gracias mi problema  es por falta de  trabajo estaré al dia  en mis cuotas,positivo
dio.antes de irse y yo estoy pagando la linea ahora si esto va a seguir me cambiaré otro chip.aprenda a tratar a las personas y no amenazar xq va a recib,positivo
Ya lo liquide la semana pasada,positivo
Ok.me acerco mañana por favor,positivo
Ya lo pagu? hoy a las 12.00 pm,positivo
Respondan la llamada ,positivo
Cuánto tengo que pagar,positivo
"950687819  buenas tardes ,por favor demen el total de mi deuda  cuanto es quiero cancelarlo todo",positivo
Buenos dias ,positivo
Cuando,positivo
Ok.el lunes cancelare,positivo
"El numero 923509118 quiere comunicarse contigo, si deseas llamalo.",positivo
No puedo pagar por el app,positivo
Maldito chupa sangre x k no se comonicastes antes k se venciera  y donde esta  asensor,positivo
"El numero 972855696 quiere comunicarse contigo, si deseas llamalo.",positivo
Disculpe! Pero ya cancelé mi artefacto(impresora) en su totalidad y no tengo deuda alguna. Gracias... ,positivo
Ya paque,positivo
Y como chucha no comunican para decirme de las reprogramaciones q supuestamente me an echo y yo ni enteredo ,positivo
Me puede decir dq es q debo pagar xf.,positivo
Buenas días de que cuota me habla yo ya cancele todo mi deuda .....,positivo
Ya pague 4 semanas mas bien gracias por hacerme acordar,positivo
Que no es gracias,positivo
Quiero informacion.,positivo
"El numero 943858562 quiere comunicarse contigo, si deseas llamalo.",positivo
"Menos mal que pago, que puedo hacer,pa que me esperen hasta el miercoles",positivo
"El numero 948639766 quiere comunicarse contigo, si deseas llamalo.",positivo
Y paguen en el banco y ko envien mensajes  sin estar informados ,positivo
Hola buenos dias aun no me llega el codigo para el bono,positivo
BUENOS DIAS,positivo
Gracias pero pagué el lunes,positivo
Como jodeS carajooo,negativo
De quién es este numero porfavor,positivo
Su cuenta bcp,positivo
Ya cancele amigo,positivo
Con quien desea comunicarse x favor,positivo
Ne esito un numero para llamar ,positivo
"El numero 974880633 quiere comunicarse contigo, si deseas llamalo.",positivo
Disculpe kiero saver cuanto es mi deuda x fab,positivo
Solo comunocarse por este medio..no fijo por favor,positivo
443497 es tu codigo para cambiar la contraseña de Facebook,positivo
Que tanto joden,positivo
Hola buenos dias ayer fui a pagar del mes..,positivo
De más inf sobre la oferta  DNI 46265270,positivo
Por favor reprogramame asta enero de 2021,positivo
Lo sé no hay Porqué recordar esta q se demora un pago qué me tienen.,positivo
x ahora mi hijo no puede cancelar se encuentra  en crisis d salud,positivo
Buen dia llame al fono legal y no responden ,positivo
an menos para poder cancelar espero su respuesta por favor yo ahorita sigo delicada mi situacion es delicada espero me comprenda ny me bajen mis letras p,positivo
Ya esta cancelado,positivo
Buenos días perdón este yo no tengo ninguna deuda este chip me lo r,positivo
Estoy juntanda para pagarte esta feo los dias pero si te boy aa pagar,positivo
Cuanto es mi crédito ,positivo
Este sabado lo pagan por favor ,positivo
De donde es:,positivo
Colega xf...envieme mi estado de cuenta...para ver qué mes no me descontaron.,positivo
CTDM DEJENME D MOLESTAR,positivo
Ya se la fecha k pago,positivo
"ernativas al presentar la Resolucion SBS 1870-2020:  a)Reduccion temporal o permanente de tasas de interés. b)Condonacion de intereses vencidos, comision",positivo
Yo ya cancele toda la deuda,positivo
 Mira bien el nombre,positivo
cual tu cuota  hoy mismo te boy a publicar por el radio ratero,positivo
"El numero 945242400 quiere comunicarse contigo, si deseas llamalo.",positivo
